title,cuisine,rating,reviewsCount,street,url,location/lat,location/lng
Little Ocean Restaurant,Seafood restaurant,4.3,347,"Meraki Complex, Salah Salem St",https://www.google.com/maps/search/?api=1&query=Little%20Ocean%20Restaurant&query_place_id=ChIJb1zsufY_WBQR82JKQkJSp9s,30.083219,31.3211912
Zara restaurant & cafe,Fast food restaurant,5,1,"38HF+RM9, Helmy Gomaa",https://www.google.com/maps/search/?api=1&query=Zara%20restaurant%20%26%20cafe&query_place_id=ChIJX8Nqjx8_WBQRTs7cOPwSCN0,30.0795453,31.3242271
La Gondola Italian Restaurant - Sonesta branch,Restaurant,4.5,36,3 El Tayaran St,https://www.google.com/maps/search/?api=1&query=La%20Gondola%20Italian%20Restaurant%20-%20Sonesta%20branch&query_place_id=ChIJi1nyF_s_WBQRjQDj8V0vk24,30.0791452,31.3177813
8 AM restaurant,Fast food restaurant,4.8,233,"Omar Elkhayam Tent, منشية البكري",https://www.google.com/maps/search/?api=1&query=8%20AM%20restaurant&query_place_id=ChIJZ4bsO0M_WBQR9e6i-jfrjxg,30.0795,31.3128893
Ichiban Asian Food Restaurant,Asian restaurant,5,2,10 Ali Ibn Radwan,https://www.google.com/maps/search/?api=1&query=Ichiban%20Asian%20Food%20Restaurant&query_place_id=ChIJuXQdMQA_WBQR50-V3a5DYys,30.0832136,31.3378961
Red Elephant Restaurant,Indian restaurant,4.5,60,"امام، 41 شارع احمد تيسير، كلية البنات",https://www.google.com/maps/search/?api=1&query=Red%20Elephant%20Restaurant&query_place_id=ChIJG1geTK0_WBQRUvT-N9PRVYk,30.0804077,31.3264063
Africano Cafe & Restaurant,Restaurant,4.1,58,١٠ El-Sheikh Mohammed El-Mahdi,https://www.google.com/maps/search/?api=1&query=Africano%20Cafe%20%26%20Restaurant&query_place_id=ChIJxRB33E4_WBQRGzUjFpa2lnU,30.0825479,31.3374415
جارسيا,Breakfast restaurant,4.1,7,5 Baghdad St,https://www.google.com/maps/search/?api=1&query=%D8%AC%D8%A7%D8%B1%D8%B3%D9%8A%D8%A7&query_place_id=ChIJ7VrtpPM_WBQRz7PLqL-II4U,30.0892948,31.3223364
PAULO'S Restaurant & Cafe,Restaurant,5,3,37 Shams Al Din Al Zahabi,https://www.google.com/maps/search/?api=1&query=PAULO'S%20Restaurant%20%26%20Cafe&query_place_id=ChIJNVr2CNY_WBQR0U4MDP51P6w,30.0818248,31.3350429
Shiva Indian Restaurant,Indian restaurant,4.1,80,11 Mohammed Ebeid,https://www.google.com/maps/search/?api=1&query=Shiva%20Indian%20Restaurant&query_place_id=ChIJ4XDoqPo_WBQRnCrKVf81Sbw,30.0881399,31.3389646
